Listado Exhaustivo de Expositores Expoagro 2026,,,
Empresa,Rubro(s),Ubicación,Web / Redes Sociales
ASOC. CRIADORES HEREFORD,"Asociaciones, ganadería",Sector Ganadería,hereford.org.ar / FB: asociacion hereford / IG: herefordargentina
ASOC. CRIADORES LIMOUSIN,Ganadería,Sector Ganadería,limousin.org.ar / FB: limousin.argentina / X: Limousin ARG / IG: Limousin_argentina
ASOCIACIÓN ARG. CARRETERAS,"Asociaciones, educación, transporte de carga",Entidad,aacarreteras.org.ar / X e IG: aacarreteras
ASOCIACIÓN BRAFORD ARGENTINA,"Asociaciones, ganadería",Sector Ganadería,braford.org.ar / FB: Asociacion.Braford.Argentina / X: BrafordArg / IG: asociacionbrafordargentina
ASOCIACIÓN CONCIENCIA,"Asociaciones, entidades e instituciones",Centro Agropampero,"conciencia.org / FB, X e IG: asconciencia"
ASOC. CRIADORES BRAHMAN,"Asociaciones, ganadería",Sector Ganadería,brahman.org.ar / FB: Asoc. Criadores Brahman de Arg. / IG: brahmanargentina
ASOC. GANADO SANGA,"Asociaciones, ganadería",Sector Ganadería,ganadosanga.com.ar / FB: Asoc. de criadores de ganado sanga / X: sangaargentino / IG: asociacion_sanga
ASOC. COMERCIO E IND. VGG,"Asociaciones, entidades e instituciones",Carpa 1 - 104,acivgg.com.ar / FB e IG: ACI VGG
ACSOJA,"Asociaciones, entidades e instituciones",Entidad,"acsoja.org.ar / FB, X e IG: acsoja"
AURAVANT,"Ag. precisión, monitoreo, informática, software drones",Espacio AgTech - AG02,"auravant.com / FB, X e IG: auravant"
AUS AGRO,"Forrajes, construcción alambrados, máquinas agrícolas, nutrición animal",Lote Aire Libre - E36,"ausagro.com / FB, X e IG: ausagro"
AUTOLOGICA,Software agropecuario,Espacio AgTech - AG04,autologica.com / FB: Autologica / IG: autologicadms
AVIONES CIRRUS / CIELO S.A.,"Servicios, asesoría, transporte",Carpa 1 - D08,cirrusaircraft.com / IG: cirrusaircraftargentina
AXION ENERGY AGRO,Petroleras,Lote Aire Libre - P89,axionenergy.com.ar / FB: AXIONenerg / IG: AXION_energy_oficial
A. SAENZ & CIA.,Consignataria de remates ganaderos,Sector Ganadería,No especificada
BAGGIO RPB S.A,"Alimentos, bebidas",Lote Aire Libre - 1161,FB e IG: baggio.oficial.ar
BAIMA S.A.,"Máquinas agrícolas, tolvas, implementos",Lote Aire Libre - 1364,baima.com.ar / FB: Industrias BaimaSA / IG: baimasa
BALANZAS HOOK S.A.,"Balanzas, eq. ganadero, máquinas agrícolas",Lote Aire Libre - 831,"balanzashook.com.ar / FB, X e IG: balanzashook"
BALANZAS VESTA,"Balanzas, eq. ganadero, tolvas",Carpa 1 - B06,balanzasvesta.com / FB e IG: balanzasvesta
BANCO COMAFI,Bancos y servicios financieros,Lote Aire Libre - 460,comafi.com.ar / FB: Banco Comafi / IG: bancocomafi
BANCO CREDICOOP,Bancos y servicios financieros,Lote Aire Libre - 1470,bancocredicoop.coop / FB: banco credicoop / IG: banco.credicoop
BANCO DE LA PAMPA,Bancos y servicios financieros,Lote Aire Libre - 767,bancodelapampa.com.ar
BANCO PROVINCIA,Bancos y servicios financieros,Lote Aire Libre - 500,bancoprovincia.com.ar / FB: bancoprovincia / X e IG: banco_provincia
BANCO GALICIA,Bancos y servicios financieros,Lote Aire Libre - 620 / Ganadería - 1811,"galicia.ar / FB, X e IG: bancogalicia"
BANCO MACRO SA,Bancos y servicios financieros,Lote Aire Libre - 1000,macro.com.ar / FB e IG: bancomacro
BANCO NACIÓN,Bancos y servicios financieros,Lote Aire Libre - 660,bna.com.ar / FB: banconacion / X: BancoNacion / IG: banconacion
BARBUY TEAM S.A.,Maquinas y herramientas,Lote Aire Libre - 1423 A,btatools.com.ar / FB: BtaHerramientas / IG: bta_tools
BÁSCULAS MAGRIS SA,"Balanzas, máquinas herramientas, repuestos viales",Lote Aire Libre - 1429,basculasmagris.com.ar
BANCO PATAGONIA,Bancos y servicios financieros,Lote Aire Libre - 260,bancopatagonia.com.ar / FB: Banco Patagonia / X e IG: banco_patagonia
BANCO SANTANDER,"Bancos y servicios financieros, agroindustria",Lote Aire Libre - 560 / Ganadería - 1709,santander.com.ar/agro / FB: Santander Arg / X e IG: santander_ar
BATERIAS DETROIT SRL,"Baterías, casillas, renovables, generadores",Carpa 2 - T06,bateriasdetroit.com.ar / FB: Baterias DetroitArg / IG: bateriasdetroitargentina
BAYER S.A.,"Agroindustria, semillas, agroquímicos, soluciones",Plot - N45,cropscience.bayer.com.ar / FB e X: AgroBayerAR / IG: bayeragro
BBVA,"Bancos, seguros, financiación, tarjetas",Lote Aire Libre - 270,"bbva.com.ar / FB, X e IG: bbva_argentina"
BECKHAUSER,"Ganadería, trazabilidad, inst. ganaderas",Sector Ganadería - 1923,beckhauser.com.ar / FB: almacenveterinariosrl / IG: Beckhauser.ar
BERNARDIN,Maquinarias agrícolas,Sector Ganadería - 1918,No especificada
BDK DESIGN,"Eq. industrial, muebles, industria, oficinas móviles",Carpa 2 - R08,bdkdesign.com.ar / FB e IG: BDKDesign
BELLMAQ,Implementos agrícolas,Lote Aire Libre - P85,bellmaq.com.ar / FB: BellmaqAEVSRL / IG: bellmaqaev
BERTINI SA,Sembradoras,Lote Aire Libre - 750,bertini.com.ar / FB: Bertini Sembradoras / IG: Bertini.oficial
BGA ENERGIA SUSTENTABLE,"Renovables, asesoramiento y consultoría",Carpa 2 - T01,bgaenergia.com.ar / FB: Biogas Argentina / IG: bgaenergia
BIDCOM AGRO,"Drones, máquinas agrícolas, máquinas viales",Lote Aire Libre - 1140,bidcomagro.com.ar / FB: bidcom / IG: bidcomagro
BIOGENESIS BAGÓ,"Lab. veterinario, biotecnología",Sector Ganadería - 1818,biogenesisbago.com / FB e IG: BiogenesisBago / X: BIOGENESIS BAGO AR
BORSALINO EVENTOS,Gastronomía,Gastronomía,borsalino-eventos.com.ar / FB e IG: borsalino_eventos
BOTALUM S.R.L.,Accesorios de pulverizadoras,Carpa 2 - T14,botalum.com / FB e IG: botalumsrl
BOUNOUS HNOS,"Motores y grupos electrógenos, generadores",Lote Aire Libre - 1700,bounous.com.ar / FB e IG: bounoushnos
BOX HOUSE,"Casillas, módulos, oficinas móviles, construcción",Lote Aire Libre - 321,boxhouse.com.ar / FB e IG: boxhousesrl
BRANGUS,"Asociaciones, ganadería",Sector Ganadería,brangus.org.ar / FB: Asoc. Arg. de Brangus / IG: brangusargentina
BRICHER S.A.,"Tanques, tanques de reserva",Lote Aire Libre - 1622,bricheragro.com.ar / FB: BricherSA / IG: bricher.s.a
BUCO,Repuestos y accesorios sembradoras y agrícolas,Carpa 2 - T-13,"buco.com.ar / FB, X e IG: buco_argentina"
BUNGE ARGENTINA SA,"Agroindustria, fertilizantes, alimentos",Lote Aire Libre - P44,bunge.ar / FB e IG: agro.expertos.Bunge
CADENA 3 ARGENTINA,Medios de comunicación,Lote Aire Libre - M02,"cadena3.com / FB, X e IG: cadena3com"
CADSYST,"Tecnología, servicios, educación, asesoramiento",Espacio AgTech - AG24,cadsyst.com.mx / FB e IG: cadsyst
CAFE MAGIN,"Eq. industrial, herramientas, electrodomésticos",Carpa 2 - 512,cafemagin.com / FB e IG: cafemagin
CAIMAN,"Pulverizadoras, fertilizadoras",Lote Aire Libre - 610,caiman.com.ar / FB: caiman.pulverizadores / X: caimansrl / IG: caiman.pulverizadoras
CAMAN S.R.L.,"Máquinas agrícolas, rolos, agropartes, implementos",Lote Aire Libre - 1036 B,FB: CAMAN / IG: caman.agrosoluciones
CAFMA,"Asociaciones, entidades e instituciones",Centro Agropampero,cafma.org.ar / IG: cafma.arg
CÁMARA COMERCIO S. LORENZO,"Asociaciones, entidades e instituciones",Carpa 2 - L12,camara-sl.org.ar / FB e IG: camarasanlorenzo
CÁMARA CONTRATISTAS FORR.,"Contratistas rurales, forrajes",Sector Ganadería - 1802,ensiladores.com.ar / FB e IG: ensiladores
CAMPOS Y GANADOS S.A.,"Ganadería, subastas, gestión inmobiliaria",Sector Ganadería,camposyganados.com / IG: camposyganados
CAN-AM-CF MOTO,"Motos, automotrices",Lote Aire Libre - P70,cfmoto.com.ar / IG: cfmotoarg
CARLINI HNOS,"Embolsadora, eq. industrial, fabricante, cintas",Carpa 1 - B11,"carlinihnos.com.ar / FB, X e IG: Carlinihnos"
CARRETELES RAFAELA S.A.,"Agroindustria, cosechadoras, eq. ganadero, fabricante",Sector Ganadería - 1824,"carretelesrafaela.com.ar / FB, X e IG: Carreteles Rafaela"
CASE IH,"Máquinas agrícolas, tractores, cosechadoras",Lote Aire Libre - NO5,"caseih.com.ar / FB, X e IG: caseiharg"
CASILLAS EL IMAN S.A.,Casillas rurales,Lote Aire Libre - 1061,"casillaseliman.com.ar / FB, X e IG: casillaseliman"
CASILLAS RURALES ALFA,"Casillas rurales, agroindustria, pulverizadoras",Lote Aire Libre - 320,casillasalfa.com.ar / IG: casillasruralesalfa
CASILLAS RURALES RO-CA,"Casillas rurales, módulos habitacionales",Lote Aire Libre - 1360,casillasroca.com.ar / FB e IG: casillasruralesroca
CASTELLI-LUCCI,"Agropartes, repuestos agrícolas, agroindustria",Carpa 1 - F07,castelli-lucci.com.ar / FB e IG: castelli.lucci
CATALANO,"Repuestos y acc. sembradoras, agropartes",Carpa 1 - C06,"catalano.com.ar / FB, X e IG: catalanoargentina"
CDV,"Laboratorio veterinario, biotecnología, ganadería",Sector Ganadería - 1937,"cdv.com.ar / FB, X e IG: LabCDV"
CEDAR S.A.,"Secadoras de grano, máquinas limpieza, cintas",Lote Aire Libre - 1503,cedar.com.ar / IG: cedar.arg
CEA S.A.,"Sistemas electrónicos, motores, grupos",Lote Aire Libre - 1421B,ceasa.com.ar
CESTARI,"Acoplados tolvas, fabricante de maquinaria",Lote Aire Libre - 300,"imcestari.com / FB, X e IG: cestaritolvas"
CETA CAPITAL HUMANO,"Consultoría, logística, servicios, personal eventual","Mitre 1702, CABA",cetacapitalhumano.com.ar / FB e IG: cetacapitalhumano
CHALERO,"Implementos agrícolas, fabricante, fertilizadoras",Lote Aire Libre - 1066,chalero.com / FB e IG: chalerooficial
CHARRUA IMPLEMENTOS SAS,Accesorios de sembradoras,Lote Aire Libre - 1260,charruaimplementosagricolas.com.ar / FB e IG: charruaimplementosagricolas
CHERY,Automotrices,Lote Aire Libre - 1110,No especificada
CHIPERIA GOURMET SAPORE,Gastronomía,Gastronomía,FB: saporesquisita / IG: saporesquisito
CIMC WETRANS,"Transporte de carga, servicios, comercio exterior",Lote Aire Libre - E17,cimcwetrans.com.ar / FB e IG: cimcwetransargentina / X: cimcwetrans
CINZIA,Motorhome,Lote Aire Libre - 1441,No especificada
CIRIGLIANO S.A,"Ventiladores axiales, máquinas agrícolas, transporte",Lote Aire Libre - 304,cirigliano.com.ar / FB e IG: cirigliano.sa
CLAAS ARGENTINA SAU,Fabricante de maquinaria agrícola,Lote Aire Libre - 170,claas.com.ar / FB: CLAAS.Argentina / X: CLAAS_Argentina / IG: claas_argentina
CLARIN,Medios de comunicación,Lote Aire Libre - M18,"clarin.com.ar / FB, X e IG: clarincom"
COIMMA,Instalaciones ganaderas,Sector Ganadería - 1930,elcondorir.com / IG: elcondorinfraestructurarural
COLEGIO DE VETERINARIOS,"Asociaciones, ganadería, institución",Sector Ganadería - 1928,cvpba.org / FB e IG: cvpba
COLOMBO Y MAGLIANO,Agroindustria,Sector Ganadería,colomboymagliano.com.ar / IG: colomboymagliano
CRA,"Asociaciones, entidades e instituciones",Centro Agropampero,cra.org.ar / FB e X: CRAprensa / IG: confederacionesrurales
CONINAGRO,"Asociaciones, entidades, agroindustria",Centro Agropampero,coninagro.org.ar / FB: CONINAGRO / X e IG: coninagro_coop
CONSEJO FED. INVERSIONES,"Asociaciones, entidades e instituciones",Lote Aire Libre - 1427,cfi.org.ar / FB: Consejo Federal de Inversiones / IG: cfiargentina
CONTINENTAL S.A.,Medios de comunicación,Lote Aire Libre - 1063,continental.com.ar / FB: RADIO CONTINENTAL / X e IG: continental590
CORTADORAS ARGENTINAS SA,"Fabricante, máquinas y herramientas",Carpa 1 - E10,cortadorasargentinas.com.ar / FB: DG Argencort / X e IG: dgargencort
CORVEN NEUMÁTICOS,"Neumáticos, automotrices",Lote Aire Libre - 1320,dunlopneumaticos.com / FB e IG: neumaticosdunlop
CORVEN MOTORS,Automotrices,Lote Aire Libre - 1110,No especificada
COVERBAG,"Películas plásticas, silobolsa, geomembranas",Lote Aire Libre - 1362,"siloscoverbag.com / FB, X e IG: siloscoverbag"
CPS WORLDWIDE,"Plásticos, forrajes, henificación, fabricante",Carpa 1 - G05,cpsagro.com / FB: CPS Worldwide / IG: cpslatinoamericayespana
CREA,"Asociaciones, entidades e instituciones",Centro Agropampero,"crea.org.ar / FB, X e IG: crea_arg"
CRICO-CATERING,"Gastronomía, servicios, alimentos",Gastronomía,cricodelicias.com / FB: Crico Sándwiches / IG: cricosandwichesydelicias
CRIOLANI BAUER,"Sistemas de riego, maquinaria agrícola/vial",Lote Aire Libre - 930,criolani.com.ar / FB: Criolani BAUER / IG: criolani.bauer
CRUCIANELLI S.A.,Fabricante de maquinaria agrícola,Lote Aire Libre - 520,crucianelli.com / FB: crucianellioficial / X e IG: crucianelliok
CUTHILL,"Ag-Tech, componentes pulverización, software gestión",Espacio AgTech - AG21,cuthill.com.ar / IG: cuthillagro
D&E AGTECH,"Agricultura de precisión, drones",Lote Aire Libre - 1248,dyesa.com / FB: D&E Agtech / IG: dyeagtech
DANES S.R.L,"Tanques, petroleras, transporte",Lote Aire Libre - 360,danes.com.ar / FB e IG: danesarg
DATAMARS LIVESTOCK,"Eq. ganadero, balanzas, instalaciones",Sector Ganadería - 1820,datamars.com.ar / FB: Datamars.Latinoamerica / X: TruTestARG / IG: datamars.latam
DE GRANDE SA,Fabricante de maquinaria agrícola,Lote Aire Libre - 950,degrandesa.com.ar / FB: maicerosdegrande / IG: degrande.s.a
DEEPAGRO,"Ag-Tech, ag. precisión, acc. pulverizadoras",Espacio AgTech - AG19,"deepagro.com / FB, X e IG: deepagroco"
DELEITES DEL LITORAL,Gastronomía,Sector Ganadería - 1826,FB e IG: Deleites del Litoral
DELTA PLUS ARGENTINA,"Fabricante, eq. higiene",Carpa 1 - J09,deltaplus.com.ar / FB e IG: deltaplus_argentina
DELVER SA,"Termometría, ag. precisión, tecnología, electrónica",Carpa 2 - K12,delver.com.ar / FB e IG: delveragro
DEUTZ FAHR ARGENTINA,"Maquinaria, repuestos tractores",Lote Aire Libre - 1456,berger.deutz-fahr-dealer.com / IG: deutz_fahr_argentina_oficial
DHM INDUSTRIA S.A.,"Máquinas agrícolas, viales, herramientas",Lote Aire Libre - 1269,"michiganweb.com.ar / FB, X e IG: michiganargentina_"
DIARIO EL NORTE,Comunicaciones,Lote Aire Libre - M16,"diarioelnorte.com.ar / FB, X e IG: diarioelnorte.sn"
DIGIRODEO,"Tecnología, eq. ganadero, ganadería",Sector Ganadería - 1926,"digirodeo.com / FB, X e IG: digirodeo"
DISTRIBAL BALANZAS,"Balanzas, eq. e inst. ganaderas",Sector Ganadería - 1932,distribal.com.ar / FB: distribal / IG: distribalagro
DISTRIBUIDORA ITALIA SRL,"Agropartes, repuestos sembradoras",Lote Aire Libre - E15,distribuidoraitalia.com.ar / IG: distribuidoraitaliasrl
DISTRIBUIDORA OAA,"Alimentos, viandas empresariales",Gastronomía,distribuidoraoaa.com.ar / FB: OSCAR ALFREDO AEGINIO / IG: distribuidoraoaa
DISTRIMAQ-TATU MARCHESAN,Implementos agrícolas y forestales,Lote Aire Libre - P91,FB: Distrimaq Máquinas Agrícolas / IG: distrimaq
DOMHOUSE ARGENTINA,"Seguridad, servicios, tecnología, eq. ganadero",Carpa 2 - N12,domhouse.com.ar / FB: DomHouseArg / IG: domhouse_argentina
DOLBI S.A.,"Implementos, sembradoras, cosechadoras",Lote Aire Libre - 621,dolbi.com.ar / FB e IG: dolbi.argentina
DON YEYO,Alimentos,Sector Ganadería - 1830,donyeyo.com.ar / FB e IG: donyeyoweb
DONGFENG ARGENTINA,"Camiones, automotrices, transporte, vehículos",Lote Aire Libre - E43,dongfeng.ar / FB: Dongfeng Arg / X e IG: dongfeng_arg
DONMARIO SEMILLAS,Semillas,Plot - 240,"donmario.com / FB, X e IG: donmariosemillas"
DROP-CENTER,"Sistemas y equipos de riego, tubos",Lote Aire Libre - 1462,drop-center.com / IG: Drop-Center S.A.
DUNTONMAQ,"Cortadoras de césped, desmalezadoras, acoplados",Lote Aire Libre - 1454,duntonmaq.com / IG: duntonmaq
DVL,"Ag-Tech, monitoreo satelital, ingeniería",Espacio AgTech - AG08,dvl.com.ar / FB: dvl.oficial.arg / IG: dvl.oficial
EASYAGRO,"Agricultura de precisión, software drones",Lote Aire Libre - 622,"easyagro.com.ar / FB, X e IG: easyagroap"
EASYDOCKING,Software de gestión,Espacio AgTech - AG32,easydockinglatam.com / FB: Easy Docking / IG: easydocking
ECOLINE BY KRAH,Tubos y accesorios para riego,Lote Aire Libre - 1067,ecolinebykrah.com / FB e IG: ecolinebykrah
ECOMANAGEMENT SAS,"Fabricante, asesoría, estercoleras, repuestos",Lote Aire Libre - 1348,ecomgmt.com.ar / FB: EcoManagementOk / IG: ecomanagement_ok
ECONOVO AGROVIAL,"Herramientas, tractores, venta viales",Lote Aire Libre - 832,econovoagrovial.com.ar / FB e IG: econovoagrovial
ECOSOL,Energía eléctrica,Lote Aire Libre - 1551,No especificada
EDECAN SILOS,"Silos, elevadores, eq. ganadero, implementos",Lote Aire Libre - 1001,silosedecan.com.ar / FB e IG: silosedecan
EDP AGRO & PRIMIA,"Nutrición animal, ganadería, soluciones",Sector Ganadería - 1941,primianutricion.com.ar / FB e IG: primianutricion
EGAR SRL,Fabricante,Carpa 2 - L06,egarsrl.com / FB e IG: egarsrl
EL AMARILLO SRL,"Sembradoras, implementos agrícolas",Lote Aire Libre - 1361,dumaire.com.ar / FB e IG: dumaire.sembradoras
EL FIERRO SRL,Acoplados tolvas,Lote Aire Libre - 1366,FB e IG: acoplados el fierro
EL GRILLO,"Tolvas, remolques, implementos",Lote Aire Libre - 1552,acopladoselgrillo.com / FB e IG: acopladoselgrillo
EL TERO,Talabartería,Sector Ganadería - 1828,eltero.com.ar / IG: eltero.ar
EL TORITO,"Hidráulico, fabricante, acc. sembradoras",Lote Aire Libre - 227,eltorito.com.ar / FB: Oleohidraulica-El-Torito / IG: eltoritosistemashidraulicos
ENERGY MERCOSUR S.A.,Energías renovables,Lote Aire Libre - N20,energymercosur.com / FB e IG: Energy Mercosur
ENERTIK,"Renovables, solar, bombas, baterías",Lote Aire Libre - 14210,enertik.com/ar / FB e IG: enertik.argentina / X: enertik_ar
ESSEN,"Gastronomía, consultoría",Carpa 2 - T15,unamamacroata.com.ar / FB e IG: una Mamá Croata
EURO TORQUE - FPT,"Motores, grupos electrógenos, servicios",Sector Ganadería - 1914,eurotorque.com.ar / FB e IG: euro torque
EVER WEAR SA,"Fabricante, agropartes, importaciones",Carpa 2 - RO2,everwear.com.ar / FB: ever wear sa / IG: everwear.arg
FACMA,"Contratistas rurales, asociaciones",Centro Agropampero,facma.com.ar / FB e IG: AgroContratistas / X: AC_FACMA
FARMQUIP ARGENTINA,"Eq. ganadero, instalaciones, herramientas",Lote Aire Libre - 1351,"farmquip.com.ar / FB, X e IG: farmquipoficial"
FEBRA IMPLEMENTOS,Fabricante de maquinaria agrícola,Lote Aire Libre - 1036 B,FB e IG: febraimplementosagro
FEDERACION AGRARIA ARG.,"Asociaciones, semillas",Centro Agropampero,faa.com.ar / FB: federacion agraria arg / X e IG: federacion_agraria
MINISTRY AGRIC. GERMANY,"Asociaciones, entidades e instituciones",Lote Aire Libre - 467,bmleh.de
FEED-PLAST,"Comederos, industria plástica",Sector Ganadería - 1929,feedplast.com.ar / FB: feedplastarg / IG: feedplast
FENDT,"Fabricante, tractores, cosechadoras",Lote Aire Libre - 910,fendt.com/ar / FB: Fendt.Hispano / IG: fendt.hispano
FERCAM,"Sembradoras, fertilizadoras, fabricante",Lote Aire Libre - 1220,fercam.com.ar / FB e IG: fercam.sembradoras
FERTILIZADORAS SR,"Fertilizadoras, acc. sembradoras",Lote Aire Libre - 410,metalurgica-sr.com.ar / FB e IG: srfertilizadoras
FILTROS LANSS,"Filtros motores, maquinaria, camiones",Carpa 1 - A10,lanss.com.ar
FINNING ARGENTINA,"Maquinas y herramientas, servicios",Lote Aire Libre - 731,finning.com / FB: finningsudamerica / IG: finningcaterpillar
FONTANA MAQUINAS,"Máquinas agrícolas, implementos, rastras",Lote Aire Libre - 268,fontanasrl.com.ar / FB e IG: fontana_maquinas_agricolas
FORD ARGENTINA S.C.A.,Automotrices,Lote Aire Libre - 600,ford.com.ar / FB e IG: fordargentina
FORWARD FIELDS SRL,"Henificación, desmalezadoras, rastras",Lote Aire Libre - 1262,forwardfields.com.ar / IG: forward.fields
FOTON ARGENTINA,Automotrices,Acceso Oeste 10951,foton.com.ar / FB e IG: foton.argentina
FRAGA SRL,Fabricante de maquinaria agrícola,Lote Aire Libre - E26,fragamaquinarias.com.ar / FB e IG: fragaimplementosagricolas
FRANCO FABRIL SA,"Fabricante, agropartes, cabezales",Lote Aire Libre - 1452,"francofabrilsa.com.ar / FB, X e IG: francofabrilsa"
FRANKLIN / ROTOR PUMP,"Bombas, riego, grupos electrógenos",Lote Aire Libre - 875,"rotorpump.com / FB, X e IG: rotorpump"
FUNDACIÓN ARGENINTA,"Administración de proyectos, internacional",Centro Agropampero,argeninta.org.ar / X e IG: argeninta
FUNDACIÓN BARBECHANDO,"Asociaciones, asesoría",Centro Agropampero,"barbechando.org / FB, X e IG: barbechando"
FUNDACION MAIZTEGUI,Salud,Lote Aire Libre - 1442,fundacionmaiztegui.com.ar / FB e IG: fundacionmaiztegui
GALAMB AGRO,Sistemas de riego agrícola,Lote Aire Libre - 1069,galamb.com.ar / FB e IG: galambagro
GAUSS LANDTECHNIK S.A,"Maquinaria, tractores, repuestos",Lote Aire Libre - 1230,gauss-landtechnik.com.ar / IG: gausslandtechnik
GEMA ARGENTINA,"Máquinas viales, agroindustria, eq. ganadero",Lote Aire Libre - 225,gemaargentina.com / FB e IG: gema.argentina
GENARO L. FERNANDEZ,"Consultoría, servicios financieros",Carpa 1 - F06,glfcpa.com / IG: glf_cpa
GENETICA GLOBAL SA,"Ganadería, consultoría, biotecnología",Sector Ganadería - 1936,geneticaglobal.com.ar / FB e IG: geneticaglobal
GENOVESE MÁQUINAS,"Fabricante, repuestos, implementos",Lote Aire Libre - 1050,metalurgicagenovese.com / FB e IG: metalurgicagenovese / X: metgenovese
GEOAGRIS,"Telemetría, maquinaria, ag. precisión",Espacio AgTech - AG09/10,"geoagris.com / FB, X e IG: geoagris"
GERONZI,"Agroindustria, sembradoras, ag. precisión",Lote Aire Libre - 1340,geronzi.com.ar / FB e IG: geronzi.siembra
GIMETAL S.R.L.,"Tolvas, henificación, sembradoras",Lote Aire Libre - 428,gimetal.com.ar / FB e IG: gimetal_srl
GIORGI S.A.,"Fabricante, sembradoras, implementos",Lote Aire Libre - 760,giorgi.com.ar / FB e IG: giorgi.maquinas.agricolas / X: GiorgiSA2
GLOBAL EXTENT S.R.L,"Máquinas agrícolas, renovables",Lote Aire Libre - 967,"gx.com.ar / FB, X e IG: globalextent"
GLOTÓN CHICKEN TRUCK,Gastronomía,Gastronomía,IG: chickentruck2019
